rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
5951,9(,1,21,32,51,62,11,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,1,1,A3,weapon,5,9(,4504.7855805,4512.7980306,8.01245010000002,0,0
2551,9(,1,22,31,51,62,11,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,2,2,B2,weapon,5,9(,4504.7855805,4525.7979369,21.0123564000005,0,0
7030,9(,1,21,32,51,61,12,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,3,3,A3,weapon,5,9(,4504.7855805,4535.7955509,31.0099704000004,0,0
2623,7&,1,21,32,51,61,12,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,4,4,B5,vest,2,7&,4504.7855805,4550.7979521,46.0123715999998,0,0
3446,9(,1,21,31,52,62,11,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,5,5,A3,weapon,5,9(,4504.7855805,4560.7961156,56.0105351000002,0,0
3353,8*,1,21,32,52,61,11,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,6,6,B1,glasses,3,8*,4504.7855805,4571.7980377,67.0124572000004,0,0
0,,0,21,32,52,61,12,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,7,7,A5,tools,6,4$,4504.7855805,4582.7974686,78.0118880999999,4591.8264876,87.0409071000004
3489,9(,1,21,31,52,61,12,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,8,8,B2,weapon,5,9(,4504.7855805,4599.7972796,95.0116991000004,0,0
2795,4$,1,22,32,51,62,12,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,9,9,A5,tools,6,4$,4504.7855805,4610.7969679,106.0113874,0,0
2887,7&,1,22,32,51,62,11,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,10,10,B5,vest,2,7&,4504.7855805,4620.798235,116.0126545,0,0
3716,9(,1,21,32,51,61,12,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,11,11,A3,weapon,5,9(,4504.7855805,4630.7972832,126.0117027,0,0
2588,7&,1,21,31,51,62,12,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,12,12,B5,vest,2,7&,4504.7855805,4641.7988131,137.0132326,0,0
3316,3#,1,22,31,51,62,12,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,407180,12435,34152,1,13,13,A1,helmet,1,3#,4504.7855805,4651.7975124,147.0119319,0,0
