rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
4591,3#,1,52,31,22,11,61,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,1,1,B3,tools,6,3#,694999.0625864,695007.076641954,8.01405555440579,0,0
1651,8*,1,52,32,22,12,62,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,2,2,A3,glasses,3,8*,694999.0625864,695019.0772293,20.0146429000888,0,0
3075,4$,1,51,32,21,12,61,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,3,3,B4,helmet,1,4$,694999.0625864,695028.0744955,29.0119090999942,0,0
2955,3#,1,52,32,22,12,62,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,4,4,A1,tools,6,3#,694999.0625864,695039.0773204,40.014734000084,0,0
5946,7&,1,52,32,21,11,62,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,5,5,B5,weapon,5,7&,694999.0625864,695049.0758323,50.0132459000451,0,0
2981,4$,1,51,31,22,12,62,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,6,6,A5,helmet,1,4$,694999.0625864,695062.0792692,63.016682800022,0,0
3312,4$,1,52,32,22,11,62,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,7,7,B4,helmet,1,4$,694999.0625864,695072.0777058,73.0151193999918,0,0
1591,7&,1,51,32,22,11,61,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,8,8,A2,weapon,5,7&,694999.0625864,695083.0777104,84.0151240000268,0,0
1875,7&,1,52,32,21,12,62,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,9,9,B5,weapon,5,7&,694999.0625864,695092.0739434,93.0113570000976,0,0
2237,8*,1,51,31,22,12,62,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,10,10,A3,glasses,3,8*,694999.0625864,695101.0855369,102.022950500017,0,0
2408,8*,1,51,31,22,11,61,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,11,11,B2,glasses,3,8*,694999.0625864,695111.0822888,112.019702400081,0,0
2654,9(,1,51,32,21,12,62,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,12,12,A4,vest,2,9(,694999.0625864,695121.0860421,122.023455700022,0,0
1240,8*,1,52,32,22,12,61,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,13,13,B2,glasses,3,8*,694999.0625864,695131.0763078,132.013721400057,0,0
1218,7&,1,51,32,22,12,62,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,14,14,A2,weapon,5,7&,694999.0625864,695140.0822592,141.019672800088,0,0
2250,3#,1,51,32,21,12,61,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,15,15,B3,tools,6,3#,694999.0625864,695149.0836531,150.021066699992,0,0
1787,8*,1,52,31,22,12,62,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,16,16,A3,glasses,3,8*,694999.0625864,695159.086185,160.023598600063,0,0
1175,9(,1,51,32,21,11,62,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,17,17,B1,vest,2,9(,694999.0625864,695168.074493,169.011906600092,0,0
3093,4$,1,51,32,22,12,62,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,18,18,A5,helmet,1,4$,694999.0625864,695177.0854201,178.022833700059,0,0
2268,7&,0,52,32,21,12,61,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,19,19,B4,helmet,1,4$,694999.0625864,695188.0858743,189.023287900025,695190.3706072,191.308020800003
3743,9(,1,51,31,21,12,62,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,20,20,A4,vest,2,9(,694999.0625864,695198.0767192,199.014132800046,0,0
1872,9(,1,51,31,21,11,61,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,21,21,B1,vest,2,9(,694999.0625864,695209.0843805,210.021794100059,0,0
1803,8*,1,52,32,22,11,62,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,22,22,A3,glasses,3,8*,694999.0625864,695218.0874701,219.024883700069,0,0
1771,8*,0,52,31,22,12,61,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,23,23,B3,tools,6,3#,694999.0625864,695227.0833581,228.020771700074,695228.8681155,229.805529100006
2326,4$,1,52,32,21,11,61,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,24,24,A5,helmet,1,4$,694999.0625864,695236.0871001,237.024513700046,0,0
3990,7&,1,52,32,21,11,61,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,25,25,B5,weapon,5,7&,694999.0625864,695246.0847442,247.022157800035,0,0
2532,9(,1,52,31,21,12,62,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,720490,54321,23514,1,26,26,A4,vest,2,9(,694999.0625864,695258.0851219,259.0225355,0,0
