rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
2801,9(,1,21,41,11,61,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,1,1,A1,helmet,1,9(,66283.5273802,66291.5380132,8.01063299999805,0,0
3214,7&,1,22,41,12,61,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,2,2,B5,vest,2,7&,66283.5273802,66301.5376798,18.010299600006,0,0
2765,3#,1,21,41,11,61,51,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,3,3,A5,weapon,5,3#,66283.5273802,66312.5397948,29.0124146000016,0,0
2420,4$,1,22,41,11,61,51,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,4,4,B1,tools,6,4$,66283.5273802,66322.538357,39.0109767999966,0,0
2880,4$,1,21,42,12,62,52,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,5,5,A4,tools,6,4$,66283.5273802,66332.5399359,49.0125556999992,0,0
3756,3#,1,21,42,12,61,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,6,6,B4,weapon,5,3#,66283.5273802,66342.5397209,59.0123406999919,0,0
4157,7&,1,21,41,12,61,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,7,7,A2,vest,2,7&,66283.5273802,66353.5380984,70.010718199992,0,0
2167,3#,0,22,42,12,62,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,8,8,B5,vest,2,7&,66283.5273802,66365.538755,82.0113748000003,66367.7216528,84.1942725999979
3105,2@,1,22,42,12,62,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,9,9,A3,glasses,3,2@,66283.5273802,66375.5393169,92.0119367000007,0,0
2996,9(,1,21,42,11,61,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,10,10,B3,helmet,1,9(,66283.5273802,66386.5402665,103.012886299999,0,0
3333,4$,1,21,41,11,61,51,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,11,11,A4,tools,6,4$,66283.5273802,66397.5420691,114.014688900003,0,0
2167,4$,1,22,42,11,62,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,12,12,B1,tools,6,4$,66283.5273802,66408.5414849,125.014104699992,0,0
3204,2@,1,21,41,11,61,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,13,13,A3,glasses,3,2@,66283.5273802,66418.5405468,135.013166599994,0,0
3018,7&,1,22,42,11,61,51,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,14,14,B5,vest,2,7&,66283.5273802,66429.5409771,146.013596899997,0,0
1552,3#,1,22,42,12,61,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,15,15,A5,weapon,5,3#,66283.5273802,66440.5390583,157.011678099996,0,0
2912,2@,1,21,41,11,62,52,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,16,16,B2,glasses,3,2@,66283.5273802,66449.5403681,166.012987900001,0,0
1991,2@,1,22,42,12,62,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,17,17,A3,glasses,3,2@,66283.5273802,66459.538864,176.011483800001,0,0
2393,7&,1,21,41,11,62,52,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,18,18,B5,vest,2,7&,66283.5273802,66469.5415932,186.014213000002,0,0
2371,9(,1,22,41,11,62,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,19,19,A1,helmet,1,9(,66283.5273802,66479.5386445,196.011264300003,0,0
2037,3#,1,22,41,12,62,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,20,20,B4,weapon,5,3#,66283.5273802,66489.5383125,206.010932299992,0,0
2873,4$,1,22,41,12,61,52,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,21,21,A4,tools,6,4$,66283.5273802,66499.5383701,216.010989899994,0,0
1361,4$,1,21,41,12,62,52,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,22,22,B1,tools,6,4$,66283.5273802,66509.538744,226.011363800004,0,0
3359,9(,1,22,42,11,61,52,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,23,23,A1,helmet,1,9(,66283.5273802,66518.5399526,235.012572399995,0,0
1236,4$,1,21,42,12,62,52,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,24,24,B1,tools,6,4$,66283.5273802,66529.5387069,246.011326699998,0,0
2808,9(,0,22,42,11,62,52,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,25,25,A2,vest,2,7&,66283.5273802,66538.5392503,255.011870100003,66541.3579873,257.830607099997
2406,9(,1,21,41,12,61,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,26,26,B3,helmet,1,9(,66283.5273802,66548.5376587,265.010278500005,0,0
3967,4$,1,21,42,11,62,51,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,27,27,A4,tools,6,4$,66283.5273802,66558.5403824,275.013002199994,0,0
3488,3#,1,21,41,12,62,52,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,653150,12354,53142,1,28,28,B4,weapon,5,3#,66283.5273802,66569.5375301,286.010149900001,0,0
