rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
4391,4$,1,32,62,42,22,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,1,1,A2,vest,2,4$,5688.8516095,5696.8627591,8.01114959999995,0,0
3729,4$,1,32,62,42,22,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,2,2,B5,vest,2,4$,5688.8516095,5708.8644399,20.0128304,0,0
2588,8*,0,32,61,41,22,51,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,3,3,A4,weapon,5,3#,5688.8516095,5719.8647532,31.0131437,5722.4716202,33.6200106999995
2346,3#,1,32,62,41,21,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,4,4,B1,weapon,5,3#,5688.8516095,5729.8629131,41.0113035999993,0,0
3194,7&,1,31,62,41,22,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,5,5,A3,glasses,3,7&,5688.8516095,5739.8618534,51.0102438999993,0,0
4864,3#,1,31,62,42,21,51,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,6,6,B1,weapon,5,3#,5688.8516095,5750.8633328,62.0117232999992,0,0
3948,4$,1,31,62,42,21,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,7,7,A2,vest,2,4$,5688.8516095,5762.8646469,74.0130373999991,0,0
4001,8*,1,31,61,41,22,51,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,8,8,B4,tools,6,8*,5688.8516095,5773.8616271,85.0100175999996,0,0
1498,4$,0,31,62,41,22,51,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,9,9,A5,tools,6,8*,5688.8516095,5785.8629646,97.0113550999995,5787.3745377,98.5229281999991
2753,7&,1,31,61,42,22,51,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,10,10,B2,glasses,3,7&,5688.8516095,5794.8618063,106.0101968,0,0
6302,3#,1,32,62,42,22,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,11,11,A4,weapon,5,3#,5688.8516095,5804.8632472,116.011637699999,0,0
4291,8*,1,31,62,41,22,51,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,12,12,B4,tools,6,8*,5688.8516095,5818.8639796,130.012370099999,0,0
2608,8*,1,32,61,41,22,51,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,13,13,A5,tools,6,8*,5688.8516095,5830.8632989,142.011689399999,0,0
3161,7&,1,31,61,42,22,51,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,14,14,B2,glasses,3,7&,5688.8516095,5840.8626723,152.011062799999,0,0
1424,2@,1,32,61,42,22,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,15,15,A1,helmet,1,2@,5688.8516095,5851.865494,163.013884499999,0,0
3730,7&,0,31,62,42,21,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,16,16,B3,helmet,1,2@,5688.8516095,5860.8654877,172.013878199999,5864.6084819,175.756872399999
4118,8*,1,31,61,42,21,51,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,17,17,A5,tools,6,8*,5688.8516095,5871.8636166,183.012007099999,0,0
2182,4$,1,31,62,42,21,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,18,18,B5,vest,2,4$,5688.8516095,5883.8641603,195.012550799999,0,0
2494,4$,1,31,61,42,22,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,19,19,A2,vest,2,4$,5688.8516095,5893.8639559,205.0123464,0,0
5308,7&,0,32,62,41,22,51,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,20,20,B4,tools,6,8*,5688.8516095,5903.8632355,215.011626,5909.184158,220.3325485
2973,7&,1,32,61,42,22,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,21,21,A3,glasses,3,7&,5688.8516095,5916.862615,228.0110055,0,0
3286,2@,1,32,61,42,21,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,22,22,B3,helmet,1,2@,5688.8516095,5926.8628401,238.011230599999,0,0
2515,7&,0,32,61,42,22,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,23,23,A4,weapon,5,3#,5688.8516095,5937.8635908,249.011981299999,5940.3931579,251.5415484
2060,3#,1,32,61,42,21,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,24,24,B1,weapon,5,3#,5688.8516095,5947.8623298,259.0107203,0,0
1356,2@,1,31,61,41,22,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,25,25,A1,helmet,1,2@,5688.8516095,5957.8636824,269.012072899999,0,0
2687,2@,1,32,62,42,21,51,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,26,26,B3,helmet,1,2@,5688.8516095,5966.8634977,278.0118882,0,0
4276,7&,1,31,61,42,22,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,27,27,A3,glasses,3,7&,5688.8516095,5976.8645829,288.012973399999,0,0
5441,2@,1,32,61,41,21,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,28,28,B3,helmet,1,2@,5688.8516095,5988.8648686,300.013259099999,0,0
2233,7&,1,31,61,42,22,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,297626,12345,43152,1,29,29,A3,glasses,3,7&,5688.8516095,6001.8623234,313.010713899999,0,0
