rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
6872,9(,1,51,11,22,41,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,1,1,A4,vest,2,9(,3743.1802713,3751.2020227,8.02175139999963,0,0
3318,7&,1,52,11,22,42,61,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,2,2,B3,weapon,5,7&,3743.1802713,3765.1938513,22.0135799999998,0,0
2836,2@,1,52,12,22,42,62,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,3,3,A2,glasses,3,2@,3743.1802713,3776.2149086,33.0346372999998,0,0
3726,8*,1,51,11,21,41,62,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,4,4,B4,helmet,1,8*,3743.1802713,3786.1944082,43.0141368999998,0,0
4957,3#,1,52,11,21,41,61,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,5,5,A3,tools,6,3#,3743.1802713,3797.1951234,54.0148520999996,0,0
5676,3#,1,52,12,21,42,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,6,6,B2,tools,6,3#,3743.1802713,3809.1923843,66.0121129999998,0,0
2108,3#,1,52,12,22,42,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,7,7,A3,tools,6,3#,3743.1802713,3822.1941286,79.0138572999999,0,0
2882,8*,0,51,12,22,42,61,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,8,8,B1,vest,2,9(,3743.1802713,3832.2151125,89.0348411999998,3835.1127055,91.9324342
2463,3#,1,52,11,22,42,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,9,9,A3,tools,6,3#,3743.1802713,3842.2038325,99.0235611999997,0,0
4863,3#,1,51,12,22,42,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,10,10,B2,tools,6,3#,3743.1802713,3852.1982839,109.0180126,0,0
2518,7&,1,52,12,22,42,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,11,11,A1,weapon,5,7&,3743.1802713,3864.1970594,121.0167881,0,0
4628,2@,1,52,12,21,41,61,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,12,12,B5,glasses,3,2@,3743.1802713,3874.1985911,131.0183198,0,0
4473,9(,1,52,12,22,41,61,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,13,13,A4,vest,2,9(,3743.1802713,3886.200434,143.0201627,0,0
3329,8*,1,52,12,21,41,62,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,14,14,B4,helmet,1,8*,3743.1802713,3898.200122,155.0198507,0,0
5648,9(,1,51,12,22,42,62,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,15,15,A4,vest,2,9(,3743.1802713,3909.1982489,166.0179776,0,0
4131,7&,1,51,12,22,42,62,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,16,16,B3,weapon,5,7&,3743.1802713,3922.193328,179.0130567,0,0
2752,3#,1,52,11,22,42,61,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,17,17,A3,tools,6,3#,3743.1802713,3934.2009382,191.0206669,0,0
3766,2@,1,51,12,22,42,61,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,18,18,B5,glasses,3,2@,3743.1802713,3944.202753,201.0224817,0,0
4897,9(,0,51,12,22,42,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,19,19,A1,weapon,5,7&,3743.1802713,3955.2017777,212.0215064,3960.1138711,216.9335998
4340,9(,1,52,12,22,41,61,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,20,20,B1,vest,2,9(,3743.1802713,3967.1989756,224.0187043,0,0
5333,8*,1,51,11,21,41,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,21,21,A5,helmet,1,8*,3743.1802713,3979.1974357,236.0171644,0,0
3233,8*,1,52,11,22,42,61,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,22,22,B4,helmet,1,8*,3743.1802713,3992.204097,249.0238257,0,0
5845,8*,1,51,12,21,42,61,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,23,23,A5,helmet,1,8*,3743.1802713,4003.2055495,260.0252782,0,0
3100,2@,1,52,12,21,42,61,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,24,24,B5,glasses,3,2@,3743.1802713,4016.2028693,273.022598,0,0
4467,8*,1,51,11,21,42,61,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,25,25,A5,helmet,1,8*,3743.1802713,4027.2055618,284.0252905,0,0
1966,9(,1,51,12,21,42,61,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,26,26,B1,vest,2,9(,3743.1802713,4039.1904821,296.0102108,0,0
3914,7&,1,52,11,22,42,61,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,27,27,A1,weapon,5,7&,3743.1802713,4048.2027011,305.0224298,0,0
2463,7&,1,51,12,22,42,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,28,28,B3,weapon,5,7&,3743.1802713,4059.2043959,316.0241246,0,0
3019,9(,1,52,12,22,42,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,29,29,A4,vest,2,9(,3743.1802713,4069.194025,326.0137537,0,0
2415,7&,1,51,11,22,41,62,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,30,30,B3,weapon,5,7&,3743.1802713,4080.1994731,337.0192018,0,0
2389,7&,1,52,12,22,42,62,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,31,31,A1,weapon,5,7&,3743.1802713,4090.1916895,347.0114182,0,0
3214,8*,1,51,12,22,41,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,32,32,B4,helmet,1,8*,3743.1802713,4100.193375,357.0131037,0,0
2967,2@,1,51,12,22,42,61,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,33,33,A2,glasses,3,2@,3743.1802713,4111.1921932,368.011921899999,0,0
2514,3#,1,51,12,21,41,61,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,34,34,B2,tools,6,3#,3743.1802713,4121.1932689,378.012997599999,0,0
4557,8*,1,52,12,21,41,62,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,35,35,A5,helmet,1,8*,3743.1802713,4131.1914132,388.0111419,0,0
3167,3#,1,51,11,21,41,62,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,681160,43521,25413,1,36,36,B2,tools,6,3#,3743.1802713,4143.1934681,400.0131968,0,0
