rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
4885,7&,1,51,41,32,12,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,1,1,B2,weapon,5,7&,4601.2470776,4609.2591014,8.01202379999995,0,0
4903,2@,1,52,41,32,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,2,2,A5,tools,6,2@,4601.2470776,4621.2579601,20.0108824999998,0,0
2984,2@,0,51,41,31,12,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,3,3,B5,vest,2,3#,4601.2470776,4633.2591394,32.0120618000001,4636.2629059,35.0158283000001
3829,7&,1,52,42,31,12,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,4,4,A3,weapon,5,7&,4601.2470776,4644.2592265,43.0121489000003,0,0
3754,9(,1,52,41,31,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,5,5,B1,glasses,3,9(,4601.2470776,4655.2589706,54.0118929999999,0,0
2980,7&,0,51,41,31,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,6,6,A2,vest,2,3#,4601.2470776,4666.2589345,65.0118568999997,4669.2530006,68.0059229999997
4396,4$,1,51,41,32,11,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,7,7,B3,helmet,1,4$,4601.2470776,4677.2575043,76.0104266999997,0,0
7652,2@,1,51,41,31,12,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,8,8,A5,tools,6,2@,4601.2470776,4689.2604568,88.0133791999997,0,0
2963,4$,1,52,41,32,12,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,9,9,B3,helmet,1,4$,4601.2470776,4704.2601991,103.0131215,0,0
3017,2@,1,52,42,32,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,10,10,A5,tools,6,2@,4601.2470776,4714.2595893,113.0125117,0,0
4157,3#,1,51,42,31,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,11,11,B5,vest,2,3#,4601.2470776,4725.2590899,124.0120123,0,0
3355,2@,0,51,42,32,12,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,12,12,A1,helmet,1,4$,4601.2470776,4737.2583681,136.0112905,4740.6272813,139.3802037
2614,3#,1,52,41,32,11,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,13,13,B5,vest,2,3#,4601.2470776,4748.2584121,147.0113345,0,0
4695,2@,0,52,41,31,12,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,14,14,A4,glasses,3,9(,4601.2470776,4758.2594714,157.0123938,4762.9677199,161.7206423
2420,3#,1,52,42,32,12,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,15,15,B5,vest,2,3#,4601.2470776,4770.257334,169.0102564,0,0
5830,9(,1,52,41,32,11,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,16,16,A4,glasses,3,9(,4601.2470776,4780.2584317,179.0113541,0,0
4943,2@,1,52,41,31,12,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,17,17,B4,tools,6,2@,4601.2470776,4793.2580084,192.0109308,0,0
3167,3#,1,51,42,32,12,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,18,18,A2,vest,2,3#,4601.2470776,4805.2582067,204.0111291,0,0
5295,2@,1,52,42,31,12,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,19,19,B4,tools,6,2@,4601.2470776,4816.2592682,215.0121906,0,0
2563,3#,1,51,42,32,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,20,20,A2,vest,2,3#,4601.2470776,4829.259121,228.0120434,0,0
3050,7&,1,52,41,32,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,21,21,B2,weapon,5,7&,4601.2470776,4839.258923,238.0118454,0,0
2437,7&,1,52,42,31,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,22,22,A3,weapon,5,7&,4601.2470776,4850.258266,249.0111884,0,0
3746,9(,1,51,41,31,11,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,23,23,B1,glasses,3,9(,4601.2470776,4860.2594055,259.0123279,0,0
2601,7&,1,52,41,32,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,24,24,A3,weapon,5,7&,4601.2470776,4871.257237,270.0101594,0,0
3867,4$,1,51,42,32,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,25,25,B3,helmet,1,4$,4601.2470776,4881.2598733,280.0127957,0,0
2427,7&,1,51,41,31,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,26,26,A3,weapon,5,7&,4601.2470776,4892.2569444,291.0098668,0,0
3125,9(,1,51,41,31,12,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,27,27,B1,glasses,3,9(,4601.2470776,4902.257953,301.0108754,0,0
3901,4$,1,52,41,31,12,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,28,28,A1,helmet,1,4$,4601.2470776,4913.2590782,312.0120006,0,0
1292,9(,1,52,42,32,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,29,29,B1,glasses,3,9(,4601.2470776,4924.2591579,323.0120803,0,0
1469,4$,1,52,41,31,12,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,30,30,A1,helmet,1,4$,4601.2470776,4933.2602862,332.0132086,0,0
2623,7&,1,52,42,31,12,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,31,31,B2,weapon,5,7&,4601.2470776,4942.2584018,341.0113242,0,0
3178,2@,1,51,42,32,12,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,32,32,A5,tools,6,2@,4601.2470776,4952.2584009,351.0113233,0,0
5819,4$,1,51,42,32,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,33,33,B3,helmet,1,4$,4601.2470776,4963.2601934,362.0131158,0,0
2986,9(,1,51,42,31,12,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,34,34,A4,glasses,3,9(,4601.2470776,4976.2582034,375.0111258,0,0
3624,2@,1,52,41,31,11,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,35,35,B4,tools,6,2@,4601.2470776,4986.2582006,385.011123,0,0
2111,3#,1,51,41,31,11,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,36,36,A2,vest,2,3#,4601.2470776,4997.257707,396.0106294,0,0
5581,2@,1,52,41,31,11,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,37,37,B4,tools,6,2@,4601.2470776,5007.2605346,406.013457,0,0
3649,2@,0,51,41,31,11,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,38,38,A1,helmet,1,4$,4601.2470776,5020.2605828,419.0135052,5023.9243272,422.6772496
5337,7&,1,51,42,32,12,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,39,39,B2,weapon,5,7&,4601.2470776,5031.2577049,430.0106273,0,0
6980,2@,0,51,42,32,12,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,1,40,40,A4,glasses,3,9(,4601.2470776,5044.2582088,443.0111312,5051.2528652,450.0057876
6000,9(,1,52,42,31,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,1,41,A4,glasses,3,9(,5167.3996481,5175.4101739,8.01052579999941,0,0
5195,3#,1,51,42,31,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,2,42,B5,vest,2,3#,5167.3996481,5189.40896530036,22.0093172003571,0,0
3103,2@,1,52,42,32,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,3,43,A5,tools,6,2@,5167.3996481,5202.4114615,35.0118133999995,0,0
2363,3#,1,52,42,32,11,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,4,44,B5,vest,2,3#,5167.3996481,5213.4134992,46.0138510999996,0,0
2316,2@,1,51,42,32,11,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,5,45,A5,tools,6,2@,5167.3996481,5223.4123029,56.0126547999998,0,0
3639,4$,1,52,42,32,12,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,6,46,B3,helmet,1,4$,5167.3996481,5233.4110383,66.0113901999994,0,0
3085,3#,1,52,41,32,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,7,47,A2,vest,2,3#,5167.3996481,5244.4114912,77.0118430999992,0,0
4874,4$,1,51,41,31,12,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,8,48,B3,helmet,1,4$,5167.3996481,5255.4115529,88.0119047999997,0,0
3893,4$,1,51,41,32,11,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,9,49,A1,helmet,1,4$,5167.3996481,5267.4093525,100.009704399999,0,0
2264,9(,1,51,42,32,12,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,10,50,B1,glasses,3,9(,5167.3996481,5278.4112028,111.0115547,0,0
2999,4$,1,51,41,32,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,11,51,A1,helmet,1,4$,5167.3996481,5288.4108273,121.0111792,0,0
3131,7&,1,51,41,31,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,12,52,B2,weapon,5,7&,5167.3996481,5299.4111962,132.011548099999,0,0
1915,4$,1,52,42,31,11,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,13,53,A1,helmet,1,4$,5167.3996481,5310.4114118,143.011763699999,0,0
4189,7&,1,52,42,32,11,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,14,54,B2,weapon,5,7&,5167.3996481,5319.4111847,152.0115366,0,0
2482,3#,1,52,42,31,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,15,55,A2,vest,2,3#,5167.3996481,5331.4124669,164.0128188,0,0
3452,7&,1,51,42,32,12,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,16,56,B2,weapon,5,7&,5167.3996481,5341.4101013,174.0104532,0,0
4886,2@,0,52,41,31,11,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,17,57,A4,glasses,3,9(,5167.3996481,5352.4131311,185.013483,5357.316592,189.9169439
4010,9(,1,51,41,31,11,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,18,58,B1,glasses,3,9(,5167.3996481,5364.4115349,197.0118868,0,0
1867,2@,1,51,42,31,12,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,19,59,A5,tools,6,2@,5167.3996481,5376.4116548,209.0120067,0,0
2796,3#,1,52,42,32,11,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,20,60,B5,vest,2,3#,5167.3996481,5385.4093343,218.0096862,0,0
4467,7&,1,52,42,32,12,22,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,21,61,A3,weapon,5,7&,5167.3996481,5395.4097876,228.010139499999,0,0
7700,2@,1,51,41,31,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,22,62,B4,tools,6,2@,5167.3996481,5407.4134677,240.0138196,0,0
2921,2@,1,52,42,31,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,23,63,A5,tools,6,2@,5167.3996481,5422.4126089,255.0129608,0,0
3557,3#,1,51,42,32,11,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,24,64,B5,vest,2,3#,5167.3996481,5432.4122442,265.012596099999,0,0
4424,7&,1,51,42,31,11,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,25,65,A3,weapon,5,7&,5167.3996481,5443.4099006,276.010252499999,0,0
1392,9(,1,52,42,32,12,21,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,26,66,B1,glasses,3,9(,5167.3996481,5455.4123697,288.0127216,0,0
4398,3#,1,51,41,32,11,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,27,67,A2,vest,2,3#,5167.3996481,5464.4128587,297.013210599999,0,0
7010,4$,1,52,42,31,11,21,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,28,68,B3,helmet,1,4$,5167.3996481,5476.4106568,309.011008699999,0,0
6274,9(,1,52,42,31,11,22,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,299988,12435,34152,2,29,69,A4,glasses,3,9(,5167.3996481,5491.4107519,324.0111038,0,0
