rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
2072,7&,1,51,62,22,11,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,148023,23541,45213,1,1,1,B1,weapon,5,7&,3518.7947168,3526.8060322,8.01131540000006,0,0
2153,9(,1,51,62,22,11,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,148023,23541,45213,1,2,2,A1,vest,2,9(,3518.7947168,3536.8068902,18.0121733999999,0,0
5101,8*,1,52,61,21,11,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,148023,23541,45213,1,3,3,B2,tools,6,8*,3518.7947168,3546.8074275,28.0127106999998,0,0
3106,3#,1,51,62,21,11,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,148023,23541,45213,1,4,4,A2,glasses,3,3#,3518.7947168,3559.8059694,41.0112525999998,0,0
2602,4$,1,52,61,21,12,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,148023,23541,45213,1,5,5,B4,helmet,1,4$,3518.7947168,3570.8074994,52.0127825999998,0,0
3453,7&,1,51,62,21,12,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,148023,23541,45213,1,6,6,A4,weapon,5,7&,3518.7947168,3580.8065178,62.0118010000001,0,0
3717,8*,1,52,62,21,11,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,148023,23541,45213,1,7,7,B2,tools,6,8*,3518.7947168,3591.807798,73.0130811999998,0,0
2434,3#,1,51,61,21,12,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,148023,23541,45213,1,8,8,A2,glasses,3,3#,3518.7947168,3602.8063155,84.0115986999999,0,0
4057,9(,1,51,61,21,11,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,148023,23541,45213,1,9,9,B3,vest,2,9(,3518.7947168,3612.8080701,94.0133532999998,0,0
3036,8*,1,52,61,22,12,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,148023,23541,45213,1,10,10,A3,tools,6,8*,3518.7947168,3624.8081178,106.013401,0,0
