rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
3140,8*,1,12,22,62,42,31,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,1,1,B2,vest,2,8*,3840.9877028,3848.998734,8.01103119999971,0,0
2936,9(,1,12,21,62,42,31,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,2,2,A1,tools,6,9(,3840.9877028,3859.999594,19.0118911999998,0,0
3209,9(,1,12,22,62,41,31,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,3,3,B3,tools,6,9(,3840.9877028,3870.0012515,29.0135486999998,0,0
5951,3#,1,12,22,61,42,31,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,4,4,A4,glasses,3,3#,3840.9877028,3880.9992581,40.0115553000001,0,0
1945,8*,1,11,21,62,41,31,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,5,5,B2,vest,2,8*,3840.9877028,3893.9993782,53.0116754000001,0,0
2951,9(,1,12,21,62,41,32,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,6,6,A1,tools,6,9(,3840.9877028,3902.9991725,62.0114696999999,0,0
0,,0,11,21,62,42,31,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,7,7,B5,helmet,1,7&,3840.9877028,3912.9997963,72.0120935,3922.066236,81.0785332
2653,8*,1,12,21,61,42,32,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,8,8,A3,vest,2,8*,3840.9877028,3929.9985222,89.0108193999999,0,0
4500,9(,1,11,21,62,42,32,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,9,9,B3,tools,6,9(,3840.9877028,3939.9994453,99.0117424999999,0,0
2661,9(,1,11,21,62,41,31,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,10,10,A1,tools,6,9(,3840.9877028,3952.0000052,111.0123024,0,0
1763,3#,1,11,21,62,42,32,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,11,11,B1,glasses,3,3#,3840.9877028,3961.9996309,121.0119281,0,0
3671,2@,1,11,22,62,41,31,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,12,12,A5,weapon,5,2@,3840.9877028,3971.0017349,130.0140321,0,0
7245,2@,1,12,22,62,41,32,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,13,13,B4,weapon,5,2@,3840.9877028,3982.0000016,141.0122988,0,0
4211,8*,1,11,21,61,41,31,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,14,14,A3,vest,2,8*,3840.9877028,3997.0000935,156.0123907,0,0
1890,8*,1,11,22,62,41,32,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,15,15,B2,vest,2,8*,3840.9877028,4009.0006797,168.0129769,0,0
2462,8*,1,11,21,62,41,32,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,16,16,A3,vest,2,8*,3840.9877028,4017.9991628,177.01146,0,0
3111,7&,1,11,22,62,41,31,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,17,17,B5,helmet,1,7&,3840.9877028,4028.0000409,187.0123381,0,0
2585,7&,1,12,22,62,42,32,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,18,18,A2,helmet,1,7&,3840.9877028,4038.9995283,198.0118255,0,0
2096,3#,1,12,21,61,42,31,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,19,19,B1,glasses,3,3#,3840.9877028,4048.9996701,208.0119673,0,0
2143,7&,0,12,21,61,42,31,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,20,20,A1,tools,6,9(,3840.9877028,4058.999503,218.0118002,4061.1566426,220.1689398
2790,9(,1,11,22,61,41,32,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,21,21,B3,tools,6,9(,3840.9877028,4068.9998694,228.0121666,0,0
2397,7&,1,11,22,62,42,31,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,22,22,A2,helmet,1,7&,3840.9877028,4079.0005448,238.012842,0,0
4308,2@,1,11,21,62,41,31,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,509291,51234,32541,1,23,23,B4,weapon,5,2@,3840.9877028,4088.9999747,248.0122719,0,0
