rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
2869,7&,1,62,11,32,22,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,1,1,B1,tools,6,7&,78576.8270875,78584.8387605,8.01167300000088,0,0
8137,4$,0,62,11,32,21,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,2,2,A5,weapon,5,3#,78576.8270875,78594.839654,18.0125664999941,78603.0003827,26.173295200002
0,,0,61,11,31,21,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,3,3,B4,weapon,5,3#,78576.8270875,78610.8362857,34.0091982000013,78619.8923773,43.0652897999971
7719,7&,1,61,11,31,22,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,4,4,A4,tools,6,7&,78576.8270875,78627.8377797,51.0106921999977,0,0
8841,3#,1,62,11,31,22,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,5,5,B4,weapon,5,3#,78576.8270875,78642.8391735,66.0120860000025,0,0
6369,8*,1,61,11,32,21,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,6,6,A3,helmet,1,8*,78576.8270875,78658.8390505,82.0119629999972,0,0
2513,7&,1,62,12,31,21,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,7,7,B1,tools,6,7&,78576.8270875,78672.840465,96.0133774999995,0,0
6351,4$,0,61,11,31,21,52,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,8,8,A5,weapon,5,3#,78576.8270875,78682.8398656,106.012778100005,78689.2064432,112.379355700003
5849,9(,1,61,12,32,21,52,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,9,9,B3,glasses,3,9(,78576.8270875,78696.8397348,120.012647299998,0,0
3341,3#,1,62,12,32,21,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,10,10,A5,weapon,5,3#,78576.8270875,78709.8392408,133.012153300006,0,0
6454,9(,1,62,11,32,22,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,11,11,B3,glasses,3,9(,78576.8270875,78720.839879,144.012791500005,0,0
7316,4$,1,62,11,32,21,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,12,12,A2,vest,2,4$,78576.8270875,78734.8407143,158.013626799991,0,0
5562,8*,1,62,11,31,22,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,13,13,B2,helmet,1,8*,78576.8270875,78749.8431789,173.016091400001,0,0
3610,9(,1,61,11,32,21,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,14,14,A1,glasses,3,9(,78576.8270875,78762.8395981,186.012510600005,0,0
0,,0,62,11,31,21,52,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,15,15,B5,vest,2,4$,78576.8270875,78773.8391529,197.012065399991,78782.8581552,206.031067699994
5731,8*,1,62,12,32,21,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,16,16,A3,helmet,1,8*,78576.8270875,78790.8385629,214.011475399995,0,0
7127,9(,0,62,12,32,22,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,17,17,B2,helmet,1,8*,78576.8270875,78803.8389648,227.011877299999,78810.9830301,234.155942600002
4599,8*,1,61,11,32,21,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,18,18,A3,helmet,1,8*,78576.8270875,78818.8382229,242.011135399996,0,0
5750,9(,0,62,11,31,21,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,19,19,B4,weapon,5,3#,78576.8270875,78830.8388991,254.011811599994,78836.6018193,259.774731800004
3530,8*,1,62,12,31,22,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,20,20,A3,helmet,1,8*,78576.8270875,78843.8368012,267.009713699998,0,0
7084,9(,1,62,12,31,21,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,21,21,B3,glasses,3,9(,78576.8270875,78854.8395652,278.012477700002,0,0
4695,3#,1,61,12,31,22,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,22,22,A5,weapon,5,3#,78576.8270875,78869.839065,293.011977499991,0,0
4865,8*,1,61,11,32,22,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,23,23,B2,helmet,1,8*,78576.8270875,78881.8375966,305.0105091,0,0
6666,4$,1,62,11,31,22,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,24,24,A2,vest,2,4$,78576.8270875,78893.8403166,317.013229100005,0,0
4482,4$,1,61,11,31,22,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,25,25,B5,vest,2,4$,78576.8270875,78907.8366477,331.009560199993,0,0
0,,0,61,12,31,22,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,26,26,A4,tools,6,7&,78576.8270875,78919.8373269,343.010239399999,78928.8533767,352.026289200003
3676,4$,1,61,11,32,22,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,27,27,B5,vest,2,4$,78576.8270875,78936.8398936,360.0128061,0,0
3566,9(,1,62,12,32,22,52,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,28,28,A1,glasses,3,9(,78576.8270875,78947.8375051,371.010417600002,0,0
7803,3#,1,62,11,31,21,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,29,29,B4,weapon,5,3#,78576.8270875,78958.8396747,382.012587199992,0,0
6897,4$,1,62,12,31,22,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,30,30,A2,vest,2,4$,78576.8270875,78973.8381199,397.011032399998,0,0
3548,7&,1,61,11,32,21,52,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,31,31,B1,tools,6,7&,78576.8270875,78987.8397558,411.012668299998,0,0
5752,4$,1,62,11,32,22,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,32,32,A2,vest,2,4$,78576.8270875,78998.8386919,422.011604400002,0,0
4417,8*,1,62,12,31,22,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,33,33,B2,helmet,1,8*,78576.8270875,79011.8385879,435.011500399996,0,0
4778,9(,1,61,11,31,21,52,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,34,34,A1,glasses,3,9(,78576.8270875,79023.8383775,447.011289999995,0,0
2075,3#,0,62,11,31,21,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,35,35,B5,vest,2,4$,78576.8270875,79035.8383829,459.011295399992,79037.924062,461.096974500004
6574,3#,0,61,11,32,21,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,36,36,A4,tools,6,7&,78576.8270875,79045.8387177,469.011630199995,79052.4260976,475.599010099992
6055,9(,1,61,12,32,22,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,37,37,B3,glasses,3,9(,78576.8270875,79059.8378862,483.010798699994,0,0
6858,7&,1,61,11,32,22,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,38,38,A4,tools,6,7&,78576.8270875,79073.838831,497.011743499999,0,0
2756,7&,1,61,11,32,22,52,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,39,39,B1,tools,6,7&,78576.8270875,79087.8380032,511.010915699997,0,0
3080,9(,1,61,11,31,21,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,1,40,40,A1,glasses,3,9(,78576.8270875,79097.8386823,521.011594800002,0,0
3345,9(,1,61,12,32,21,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,2,1,41,A1,glasses,3,9(,79886.9836447,79894.9935706,8.00992589999805,0,0
5985,3#,1,61,11,31,22,52,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,2,2,42,B4,weapon,5,3#,79886.9836447,79905.9936377,19.0099929999997,0,0
4866,8*,1,62,12,32,22,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,2,3,43,A3,helmet,1,8*,79886.9836447,79918.9955078,32.0118631000078,0,0
4745,7&,1,61,11,32,22,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,2,4,44,B1,tools,6,7&,79886.9836447,79930.9953372,44.0116925000038,0,0
5887,7&,1,61,11,32,21,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,2,5,45,A4,tools,6,7&,79886.9836447,79942.994698,56.011053299997,0,0
7282,3#,1,62,11,32,21,52,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,2,6,46,B4,weapon,5,3#,79886.9836447,79955.9944571,69.0108123999962,0,0
2801,9(,1,62,12,31,22,51,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,2,7,47,A1,glasses,3,9(,79886.9836447,79970.9972744,84.013629699999,0,0
7829,8*,1,61,12,31,21,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,2,8,48,B2,helmet,1,8*,79886.9836447,79980.9971555,94.0135107999959,0,0
8131,4$,1,62,12,32,22,52,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,2,9,49,A2,vest,2,4$,79886.9836447,79995.9953615,109.0117168,0,0
2190,7&,1,61,12,31,22,51,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,800290,32154,51342,2,10,50,B1,tools,6,7&,79886.9836447,80011.9960183,125.012373599995,0,0
