rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
4753,8*,0,21,32,42,62,51,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,1,1,A3,vest,2,7&,5250.2017324,5258.2128319,8.01109950000046,5262.9859303,12.7841979000004
6438,4$,0,22,31,42,61,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,2,2,B4,weapon,5,3#,5250.2017324,5270.2116838,20.0099514000003,5276.672578,26.4708455999998
6261,9(,0,21,31,42,61,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,3,3,A4,glasses,3,8*,5250.2017324,5284.2129492,34.0112168000005,5290.494199,40.2924665999999
5733,8*,1,21,32,41,62,51,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,4,4,B1,glasses,3,8*,5250.2017324,5298.2123004,48.0105679999997,0,0
6910,8*,1,21,32,41,62,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,5,5,A4,glasses,3,8*,5250.2017324,5311.213437,61.0117046000005,0,0
5992,7&,0,21,31,41,61,52,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,6,6,B3,tools,6,4$,5250.2017324,5325.2149782,75.0132457999998,5331.2215741,81.0198417000001
6439,3#,1,22,31,42,62,51,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,7,7,A5,weapon,5,3#,5250.2017324,5339.2131138,89.0113814000006,0,0
2389,8*,1,21,32,42,61,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,8,8,B1,glasses,3,8*,5250.2017324,5353.2125769,103.010844500001,0,0
4086,7&,1,22,32,41,62,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,9,9,A3,vest,2,7&,5250.2017324,5363.2147099,113.0129775,0,0
4600,4$,1,22,32,41,61,51,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,10,10,B3,tools,6,4$,5250.2017324,5375.2137999,125.0120675,0,0
3997,4$,1,22,32,42,61,52,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,44586,51234,32541,1,11,11,A1,tools,6,4$,5250.2017324,5387.2147257,137.0129933,0,0
