rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
1784,8*,1,42,32,12,51,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,1,1,B1,glasses,3,8*,3533.7768696,3541.7906796,8.01381000000038,0,0
6548,4$,1,41,31,11,51,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,2,2,A5,weapon,5,4$,3533.7768696,3550.7873815,17.0105119,0,0
2670,2@,1,42,31,12,52,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,3,3,B5,vest,2,2@,3533.7768696,3564.791006,31.0141364000001,0,0
2205,2@,1,41,32,12,52,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,4,4,A2,vest,2,2@,3533.7768696,3574.7875052,41.0106356000001,0,0
2228,4$,1,41,32,12,52,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,5,5,B4,weapon,5,4$,3533.7768696,3584.7909877,51.0141181000004,0,0
2007,9(,1,42,31,11,52,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,6,6,A1,helmet,1,9(,3533.7768696,3594.7887122,61.0118426000004,0,0
1725,2@,1,41,32,11,51,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,7,7,B5,vest,2,2@,3533.7768696,3604.7886464,71.0117768,0,0
3121,3#,1,42,32,12,51,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,8,8,A3,tools,6,3#,3533.7768696,3613.7886535,80.0117839,0,0
1364,8*,1,41,31,12,52,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,9,9,B1,glasses,3,8*,3533.7768696,3624.7897529,91.0128833000003,0,0
2565,8*,1,42,31,11,52,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,10,10,A4,glasses,3,8*,3533.7768696,3633.7895509,100.0126813,0,0
3240,9(,1,42,32,11,51,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,11,11,B3,helmet,1,9(,3533.7768696,3643.7888936,110.012024,0,0
1471,4$,1,42,32,12,52,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,12,12,A5,weapon,5,4$,3533.7768696,3654.7892738,121.0124042,0,0
3014,9(,1,42,32,11,52,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,13,13,B3,helmet,1,9(,3533.7768696,3663.7880297,130.0111601,0,0
1635,4$,1,41,32,12,51,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,14,14,A5,weapon,5,4$,3533.7768696,3674.7886788,141.0118092,0,0
2255,4$,1,41,31,11,51,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,15,15,B4,weapon,5,4$,3533.7768696,3683.7893113,150.0124417,0,0
2984,3#,1,42,32,11,52,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,16,16,A3,tools,6,3#,3533.7768696,3693.7887233,160.0118537,0,0
2304,4$,1,42,31,11,51,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,17,17,B4,weapon,5,4$,3533.7768696,3703.7880057,170.0111361,0,0
2038,2@,1,42,31,11,52,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,18,18,A2,vest,2,2@,3533.7768696,3713.788533,180.0116634,0,0
1539,8*,1,41,32,11,52,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,19,19,B1,glasses,3,8*,3533.7768696,3723.7908745,190.0140049,0,0
4870,8*,1,41,31,11,52,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,20,20,A4,glasses,3,8*,3533.7768696,3732.7903818,199.0135122,0,0
2165,2@,1,42,31,11,51,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,21,21,B5,vest,2,2@,3533.7768696,3744.7878518,211.0109822,0,0
2769,3#,1,42,32,11,51,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,22,22,A3,tools,6,3#,3533.7768696,3754.7887005,221.0118309,0,0
1970,3#,1,41,32,12,51,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,186201,12534,35142,1,23,23,B2,tools,6,3#,3533.7768696,3764.7874155,231.0105459,0,0
