rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
5476,9(,1,52,22,31,42,62,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,1,1,B4,glasses,3,9(,3681.7060592,3689.7176876,8.01162840000006,0,0
3294,8*,1,51,21,31,42,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,2,2,A2,vest,2,8*,3681.7060592,3702.7168517,21.0107925000002,0,0
4053,2@,1,52,22,31,41,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,3,3,B1,helmet,1,2@,3681.7060592,3713.7184777,32.0124185000004,0,0
4543,8*,0,52,22,32,42,62,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,4,4,A5,glasses,3,9(,3681.7060592,3725.7183324,44.0122732,3730.3073217,48.6012625000003
4519,3#,1,51,21,32,42,61,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,5,5,B2,tools,6,3#,3681.7060592,3737.7187577,56.0126985000002,0,0
3463,7&,1,51,22,31,42,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,6,6,A1,weapon,5,7&,3681.7060592,3749.7183871,68.0123279000004,0,0
3367,8*,1,52,21,32,42,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,7,7,B5,vest,2,8*,3681.7060592,3760.7183034,79.0122442000002,0,0
3429,3#,1,52,22,32,42,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,8,8,A3,tools,6,3#,3681.7060592,3771.7196399,90.0135807000001,0,0
4761,7&,1,52,21,32,42,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,9,9,B3,weapon,5,7&,3681.7060592,3782.7181354,101.0120762,0,0
0,,0,51,22,31,41,61,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,10,10,A5,glasses,3,9(,3681.7060592,3794.7180753,113.0120161,3803.745376,122.0393168
3207,7&,1,52,21,31,42,61,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,11,11,B3,weapon,5,7&,3681.7060592,3811.7186753,130.0126161,0,0
3755,8*,0,51,21,31,41,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,12,12,A5,glasses,3,9(,3681.7060592,3822.7187428,141.0126836,3826.4861877,144.7801285
2384,8*,1,52,22,32,42,62,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,13,13,B5,vest,2,8*,3681.7060592,3833.7183708,152.0123116,0,0
2702,8*,0,51,21,32,42,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,14,14,A4,helmet,1,2@,3681.7060592,3843.7180432,162.011984,3846.433409,164.7273498
3014,9(,1,52,21,31,42,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,15,15,B4,glasses,3,9(,3681.7060592,3853.7175678,172.0115086,0,0
2515,3#,1,52,21,31,41,61,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,16,16,A3,tools,6,3#,3681.7060592,3864.7186529,183.0125937,0,0
1725,2@,1,52,22,31,41,62,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,17,17,B1,helmet,1,2@,3681.7060592,3874.7163451,193.0102859,0,0
2810,3#,1,51,21,31,41,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,18,18,A3,tools,6,3#,3681.7060592,3883.7199865,202.0139273,0,0
5213,9(,1,52,21,31,41,61,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,19,19,B4,glasses,3,9(,3681.7060592,3893.7168554,212.0107962,0,0
2839,7&,1,51,21,31,41,61,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,20,20,A1,weapon,5,7&,3681.7060592,3906.7183328,225.0122736,0,0
3845,9(,1,51,21,31,42,61,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,21,21,B4,glasses,3,9(,3681.7060592,3916.7188355,235.0127763,0,0
2933,8*,1,51,21,32,42,61,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,22,22,A2,vest,2,8*,3681.7060592,3927.7166958,246.0106366,0,0
3879,8*,1,52,21,31,41,61,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,23,23,B5,vest,2,8*,3681.7060592,3937.7166181,256.0105589,0,0
2515,9(,1,52,22,32,42,61,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,24,24,A5,glasses,3,9(,3681.7060592,3948.7217001,267.0156409,0,0
2304,3#,1,52,22,32,41,62,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,25,25,B2,tools,6,3#,3681.7060592,3958.7213628,277.0153036,0,0
2129,2@,1,51,21,31,41,61,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,26,26,A4,helmet,1,2@,3681.7060592,3968.7168316,287.0107724,0,0
2380,7&,0,52,22,32,42,62,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,27,27,B1,helmet,1,2@,3681.7060592,3978.717728,297.0116688,3981.1134492,299.40739
5345,2@,1,51,21,31,42,61,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,28,28,A4,helmet,1,2@,3681.7060592,3988.7169812,307.010922,0,0
3819,7&,1,51,22,31,41,61,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,29,29,B3,weapon,5,7&,3681.7060592,4001.7180633,320.0120041,0,0
1953,7&,1,51,21,32,41,61,12,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,30,30,A1,weapon,5,7&,3681.7060592,4012.7172808,331.0112216,0,0
3128,8*,1,52,22,32,42,61,11,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,555530,42513,15432,1,31,31,B5,vest,2,8*,3681.7060592,4021.7171774,340.0111182,0,0
