rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
6963,2@,1,32,42,11,21,51,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,1,1,B4,tools,6,2@,3988.8140934,3996.8254727,8.01137930000004,0,0
2577,4$,1,32,41,11,22,52,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,2,2,A1,vest,2,4$,3988.8140934,4010.8246031,22.0105097000001,0,0
4829,2@,1,31,42,11,21,51,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,3,3,B4,tools,6,2@,3988.8140934,4020.8256748,32.0115814000001,0,0
0,,0,32,41,12,22,51,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,4,4,A4,weapon,5,3#,3988.8140934,4032.8272536,44.0131602000001,4041.920445,53.1063516000004
2368,7&,1,31,41,12,21,51,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,5,5,B2,glasses,3,7&,3988.8140934,4049.8256399,61.0115465000003,0,0
5996,7&,1,32,42,12,21,51,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,6,6,A3,glasses,3,7&,3988.8140934,4059.8273642,71.0132708000001,0,0
2775,9(,1,32,42,11,22,52,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,7,7,B5,helmet,1,9(,3988.8140934,4073.8253057,85.0112123000004,0,0
2023,4$,1,31,42,12,21,51,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,8,8,A1,vest,2,4$,3988.8140934,4083.8272952,95.0132018000004,0,0
2863,3#,1,32,42,12,22,52,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,9,9,B1,weapon,5,3#,3988.8140934,4093.8268985,105.0128051,0,0
2905,4$,1,32,42,11,21,52,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,10,10,A1,vest,2,4$,3988.8140934,4103.8261921,115.0120987,0,0
3583,4$,1,32,42,11,21,52,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,11,11,B3,vest,2,4$,3988.8140934,4113.8249121,125.0108187,0,0
0,,0,32,41,12,22,51,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,12,12,A2,helmet,1,9(,3988.8140934,4124.8261106,136.0120172,4133.8434582,145.0293648
2702,9(,1,31,42,11,22,51,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,13,13,B5,helmet,1,9(,3988.8140934,4141.8248733,153.0107799,0,0
6726,9(,1,31,42,12,22,51,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,14,14,A2,helmet,1,9(,3988.8140934,4151.8261012,163.0120078,0,0
2239,9(,1,32,42,12,21,51,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,15,15,B5,helmet,1,9(,3988.8140934,4165.8281619,177.0140685,0,0
3164,2@,1,32,42,12,22,51,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,16,16,A5,tools,6,2@,3988.8140934,4175.8256583,187.0115649,0,0
3545,3#,1,31,42,11,22,52,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,17,17,B1,weapon,5,3#,3988.8140934,4186.8243629,198.0102695,0,0
3054,3#,0,31,42,12,21,51,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,18,18,A5,tools,6,2@,3988.8140934,4197.8265483,209.0124549,4200.8952102,212.0811168
5438,2@,1,31,41,11,22,51,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,19,19,B4,tools,6,2@,3988.8140934,4208.8266385,220.0125451,0,0
3243,7&,1,32,41,11,22,52,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,20,20,A3,glasses,3,7&,3988.8140934,4221.8267634,233.012670000001,0,0
2256,9(,0,31,41,11,21,52,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,21,21,B2,glasses,3,7&,3988.8140934,4232.8247051,244.0106117,4235.0925319,246.2784385
2716,4$,1,32,42,11,21,51,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,22,22,A1,vest,2,4$,3988.8140934,4242.82521,254.0111166,0,0
4051,4$,1,31,41,12,21,52,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,23,23,B3,vest,2,4$,3988.8140934,4252.8243639,264.0102705,0,0
3150,7&,1,31,41,12,22,52,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,24,24,A3,glasses,3,7&,3988.8140934,4264.8249703,276.0108769,0,0
4272,4$,1,32,42,12,22,52,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,25,25,B3,vest,2,4$,3988.8140934,4275.8270231,287.0129297,0,0
6155,3#,1,32,41,12,21,52,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,26,26,A4,weapon,5,3#,3988.8140934,4287.8260759,299.011982500001,0,0
2764,9(,1,31,41,12,22,51,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,27,27,B5,helmet,1,9(,3988.8140934,4301.8274368,313.0133434,0,0
3886,4$,0,32,42,11,22,52,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,28,28,A4,weapon,5,3#,3988.8140934,4311.8246784,323.010585,4315.7262564,326.912163
2796,9(,0,32,41,11,22,52,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,974048,21345,43251,1,29,29,B2,glasses,3,7&,3988.8140934,4322.8234762,334.0093828,4325.6303785,336.8162851
