rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
4712,3#,1,21,62,41,32,12,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,1,1,B3,helmet,1,3#,3314.6479243,3322.6605733,8.01264900000024,0,0
3525,7&,1,21,61,42,32,12,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,2,2,A2,vest,2,7&,3314.6479243,3334.6598383,20.0119140000002,0,0
4683,7&,1,22,61,41,32,11,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,3,3,B5,vest,2,7&,3314.6479243,3345.6621658,31.0142415,0,0
5030,4$,1,21,62,42,32,12,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,4,4,A4,glasses,3,4$,3314.6479243,3357.6606804,43.0127560999999,0,0
5575,8*,1,22,61,42,31,12,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,5,5,B4,tools,6,8*,3314.6479243,3370.6582419,56.0103176000002,0,0
2299,3#,1,21,62,41,32,12,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,6,6,A1,helmet,1,3#,3314.6479243,3383.6593394,69.0114151000002,0,0
2856,2@,1,22,62,41,32,12,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,7,7,B2,weapon,5,2@,3314.6479243,3393.6590436,79.0111193000002,0,0
3712,4$,1,21,62,41,31,11,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,8,8,A4,glasses,3,4$,3314.6479243,3403.6610901,89.0131658,0,0
3373,4$,1,21,62,41,31,12,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,9,9,B1,glasses,3,4$,3314.6479243,3414.6611013,100.013177,0,0
2803,2@,1,21,61,42,31,11,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,10,10,A3,weapon,5,2@,3314.6479243,3425.6602546,111.0123303,0,0
2933,7&,1,21,61,41,31,11,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,11,11,B5,vest,2,7&,3314.6479243,3435.6597564,121.0118321,0,0
3389,8*,1,21,62,42,32,11,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,12,12,A5,tools,6,8*,3314.6479243,3445.6596101,131.0116858,0,0
3471,2@,1,22,62,41,32,11,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,13,13,B2,weapon,5,2@,3314.6479243,3456.6601181,142.0121938,0,0
1737,7&,1,22,61,41,32,12,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,14,14,A2,vest,2,7&,3314.6479243,3467.6606673,153.012743,0,0
4290,3#,1,21,62,41,31,11,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,15,15,B3,helmet,1,3#,3314.6479243,3476.6595961,162.0116718,0,0
4090,2@,1,22,61,41,31,12,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,16,16,A3,weapon,5,2@,3314.6479243,3488.6618332,174.0139089,0,0
3855,4$,1,22,62,41,31,11,51,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,17,17,B1,glasses,3,4$,3314.6479243,3500.6619545,186.0140302,0,0
4107,8*,1,22,61,42,31,12,52,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,865002,12435,34152,1,18,18,A5,tools,6,8*,3314.6479243,3511.659032,197.0111077,0,0
