rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
7516,3#,1,11,52,32,42,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,1,1,B4,tools,6,3#,4961.306462,4969.317344,8.0108815,0,0
5090,9(,1,12,52,31,41,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,2,2,A3,glasses,3,9(,4961.306462,4984.31888,23.0124176,0,0
4373,9(,1,12,51,32,41,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,3,3,B2,glasses,3,9(,4961.306462,4997.318561,36.0120983,0,0
2160,7&,1,11,52,31,41,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,4,4,A1,helmet,1,7&,4961.306462,5009.319803,48.0133405,0,0
3225,3#,1,11,51,31,42,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,5,5,B4,tools,6,3#,4961.306462,5019.318433,58.0119703,0,0
2472,2@,1,11,51,31,42,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,6,6,A2,vest,2,2@,4961.306462,5030.31906,69.0125979,0,0
1913,3#,1,11,52,32,42,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,7,7,B4,tools,6,3#,4961.306462,5040.319027,79.0125647,0,0
1328,7&,1,11,52,32,41,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,8,8,A1,helmet,1,7&,4961.306462,5049.31826,88.011798,0,0
2752,8*,1,12,52,31,41,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,9,9,B1,weapon,5,8*,4961.306462,5058.319857,97.0133943,0,0
3597,3#,1,12,52,31,41,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,10,10,A5,tools,6,3#,4961.306462,5068.318171,107.011709,0,0
3186,2@,1,12,51,31,42,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,11,11,B5,vest,2,2@,4961.306462,5079.318849,118.0123871,0,0
2800,8*,1,11,52,32,41,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,12,12,A4,weapon,5,8*,4961.306462,5090.318555,129.012093,0,0
1518,8*,1,11,52,32,42,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,13,13,B1,weapon,5,8*,4961.306462,5100.318288,139.0118259,0,0
4307,8*,1,11,52,32,42,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,14,14,A4,weapon,5,8*,4961.306462,5109.318845,148.0123827,0,0
2435,9(,1,11,51,31,41,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,15,15,B2,glasses,3,9(,4961.306462,5121.319094,160.0126313,0,0
1877,3#,1,11,52,32,42,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,16,16,A5,tools,6,3#,4961.306462,5131.317427,170.0109651,0,0
2380,7&,1,11,51,31,42,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,17,17,B3,helmet,1,7&,4961.306462,5140.317295,179.010833,0,0
1400,7&,1,12,52,32,42,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,18,18,A1,helmet,1,7&,4961.306462,5150.320385,189.0139229,0,0
2013,9(,1,11,51,32,42,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,19,19,B2,glasses,3,9(,4961.306462,5159.318735,198.0122728,0,0
1993,3#,1,12,52,32,41,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,20,20,A5,tools,6,3#,4961.306462,5169.320551,208.0140889,0,0
4964,3#,1,12,51,32,42,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,21,21,B4,tools,6,3#,4961.306462,5179.317654,218.011192,0,0
1272,7&,1,12,51,32,42,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,22,22,A1,helmet,1,7&,4961.306462,5191.318214,230.0117518,0,0
2694,2@,1,12,52,32,41,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,23,23,B5,vest,2,2@,4961.306462,5200.321338,239.014876,0,0
3231,9(,1,12,51,31,42,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,24,24,A3,glasses,3,9(,4961.306462,5210.320125,249.0136629,0,0
2981,8*,1,11,52,31,42,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,25,25,B1,weapon,5,8*,4961.306462,5221.31866,260.0121982,0,0
2626,9(,1,12,52,32,42,62,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,26,26,A3,glasses,3,9(,4961.306462,5231.319149,270.0126865,0,0
2901,7&,1,11,51,32,41,61,22,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,27,27,B3,helmet,1,7&,4961.306462,5241.318072,280.0116102,0,0
2135,3#,1,12,52,32,42,62,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,28,28,A5,tools,6,3#,4961.306462,5251.316822,290.0103594,0,0
1481,2@,1,11,52,31,41,61,21,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,784426,12345,43152,1,29,29,B5,vest,2,2@,4961.306462,5261.317728,300.0112661,0,0
