rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
6416,8*,1,41,61,51,11,21,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,1,1,B5,tools,6,8*,97912.7835717,97920.7948934,8.01132170000346,0,0
4027,8*,1,41,62,52,12,21,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,2,2,A2,tools,6,8*,97912.7835717,97934.7955214,22.0119496999978,0,0
5684,9(,1,42,62,51,12,22,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,3,3,B4,weapon,5,9(,97912.7835717,97946.7952167,34.011645000006,0,0
4823,4$,1,42,62,51,11,21,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,4,4,A4,helmet,1,4$,97912.7835717,97959.7966778,47.0131060999993,0,0
3674,2@,1,41,61,51,12,22,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,5,5,B3,glasses,3,2@,97912.7835717,97971.7957815,59.0122097999993,0,0
1748,2@,1,42,62,51,12,22,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,6,6,A1,glasses,3,2@,97912.7835717,97982.7947658,70.0111941000068,0,0
2718,8*,1,41,61,51,12,21,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,7,7,B5,tools,6,8*,97912.7835717,97991.7956432,79.0120715000085,0,0
2532,9(,1,42,62,51,11,22,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,8,8,A5,weapon,5,9(,97912.7835717,98001.7952407,89.0116689999995,0,0
3516,3#,1,42,61,52,12,22,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,9,9,B2,vest,2,3#,97912.7835717,98011.7966412,99.0130694999971,0,0
1555,2@,1,41,61,52,11,22,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,10,10,A1,glasses,3,2@,97912.7835717,98022.7969295,110.013357799995,0,0
2960,3#,1,42,62,51,12,21,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,11,11,B2,vest,2,3#,97912.7835717,98031.7969362,119.013364500002,0,0
2612,9(,1,41,61,52,12,22,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,12,12,A5,weapon,5,9(,97912.7835717,98041.7948707,129.011299000005,0,0
2926,9(,1,42,61,51,12,22,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,13,13,B4,weapon,5,9(,97912.7835717,98051.7952935,139.011721800009,0,0
1801,9(,1,42,62,52,11,22,32,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,14,14,A5,weapon,5,9(,97912.7835717,98061.7950317,149.011460000009,0,0
2913,4$,1,42,62,52,12,21,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,15,15,B1,helmet,1,4$,97912.7835717,98070.7956019,158.0120302,0,0
2206,8*,1,42,61,52,11,22,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,16,16,A2,tools,6,8*,97912.7835717,98080.7953471,168.011775399995,0,0
2480,8*,1,42,62,52,11,21,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,17,17,B5,tools,6,8*,97912.7835717,98090.7960297,178.012457999997,0,0
3425,3#,1,42,62,52,11,22,31,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,872699,35214,12345,1,18,18,A3,vest,2,3#,97912.7835717,98100.7960332,188.012461499995,0,0
