rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
2961,8*,1,51,21,32,11,41,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,1,1,A3,vest,2,8*,4557.4020561,4565.412797,8.0107409000002,0,0
4356,9(,1,52,22,32,12,41,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,2,2,B1,glasses,3,9(,4557.4020561,4575.4239921,18.0219360000001,0,0
3933,8*,1,52,22,31,11,42,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,3,3,A3,vest,2,8*,4557.4020561,4587.4153922,30.0133360999998,0,0
1910,8*,1,51,22,31,12,42,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,4,4,B2,vest,2,8*,4557.4020561,4598.4137285,41.0116724,0,0
4061,4$,1,52,22,32,11,41,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,5,5,A1,helmet,1,4$,4557.4020561,4607.413995,50.0119389000001,0,0
3589,2@,1,52,22,32,12,42,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,6,6,B5,tools,6,2@,4557.4020561,4619.4154694,62.0134133000001,0,0
3078,7&,1,51,22,31,12,41,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,7,7,A5,weapon,5,7&,4557.4020561,4630.4126268,73.0105707000002,0,0
1613,9(,1,52,21,32,12,42,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,8,8,B1,glasses,3,9(,4557.4020561,4641.4123334,84.0102772999999,0,0
1419,4$,1,52,21,31,11,41,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,9,9,A1,helmet,1,4$,4557.4020561,4650.4151307,93.0130746000004,0,0
3147,4$,1,51,22,32,11,41,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,10,10,B3,helmet,1,4$,4557.4020561,4659.4144155,102.012359400001,0,0
3368,2@,1,51,22,32,11,42,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,11,11,A2,tools,6,2@,4557.4020561,4670.4160661,113.01401,0,0
1578,8*,1,51,21,32,11,42,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,12,12,B2,vest,2,8*,4557.4020561,4681.4140618,124.0120057,0,0
2652,9(,1,51,21,32,12,42,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,13,13,A4,glasses,3,9(,4557.4020561,4690.4155341,133.013478,0,0
2331,2@,1,52,21,31,12,42,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,14,14,B5,tools,6,2@,4557.4020561,4700.4149394,143.0128833,0,0
2141,2@,1,51,21,31,11,42,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,15,15,A2,tools,6,2@,4557.4020561,4710.4136768,153.0116207,0,0
4073,7&,1,52,21,32,12,41,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,16,16,B4,weapon,5,7&,4557.4020561,4720.4141783,163.0121222,0,0
3215,7&,1,51,22,31,12,42,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,17,17,A5,weapon,5,7&,4557.4020561,4732.414201,175.0121449,0,0
1866,9(,1,52,21,32,12,41,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,18,18,B1,glasses,3,9(,4557.4020561,4743.4146011,186.012545000001,0,0
1280,4$,1,52,22,31,12,41,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,19,19,A1,helmet,1,4$,4557.4020561,4752.4119347,195.0098786,0,0
1784,4$,1,51,21,32,11,41,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,20,20,B3,helmet,1,4$,4557.4020561,4761.4144587,204.0124026,0,0
2332,9(,1,52,22,31,11,42,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,21,21,A4,glasses,3,9(,4557.4020561,4770.4130613,213.0110052,0,0
1432,8*,1,51,21,32,11,41,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,22,22,B2,vest,2,8*,4557.4020561,4780.4145448,223.0124887,0,0
2586,8*,1,51,22,31,12,42,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,23,23,A3,vest,2,8*,4557.4020561,4789.4155317,232.013475600001,0,0
2515,7&,1,51,21,31,11,42,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,24,24,B4,weapon,5,7&,4557.4020561,4799.4138812,242.0118251,0,0
1788,8*,1,51,21,32,11,41,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,25,25,A3,vest,2,8*,4557.4020561,4809.4138081,252.011752,0,0
3110,4$,1,52,21,32,12,42,61,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,26,26,B3,helmet,1,4$,4557.4020561,4818.4126758,261.0106197,0,0
1919,2@,1,51,22,31,12,41,62,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,900294,15234,32145,1,27,27,A2,tools,6,2@,4557.4020561,4829.4140337,272.0119776,0,0
